,sentence,label
0,Morrisons book second consecutive quarter of sales growth,2
1,IMI posts drop in first-quarter organic revenue; warns on full year,0
2,"Glencore to refinance its short-term debt early, shares rise",2
3,EasyJet attracts more passengers in June but still lags Ryanair,2
4,Barclays 'bad bank' chief to step down,0
5,Bilfinger Industrial Services win Â£100m BP contract extension,2
6,Bilfinger Industrial Services win Â£100m BP contract extension,2
7,Barclays share price subdued as bank faces fresh forex probe,0
8,Centrica prepared for takeover approach - chairman,2
9,Jim Armitage: Spare no tears as Glencore's bosses are paying such a small price,0
10,"Barclays, Deutsche Bank Fight to Lift Profit Just Got Harder",0
11,Kingfisher set to open another 200 Screwfix stores,2
12,Diageo sales disappoint as currency and comparatives leave bitter taste,0
13,Smith & Nephew recalls hip-replacement components,0
14,Tesco is torn apart as watchdog finds supermarket repeatedly withheld payments from suppliers,0
15,Is Trouble Brewing At Legal & General Group Plc And Aviva plc?,0
16,Here's my 10-point plan to make Tesco great again,2
17,"Schroders posts FY profit beat, replaces CEO and chairman in board shake-up",2
18,BP Seeks to Get Back Some Gulf Oil Spill Business Payouts,2
19,"Can Standard Chartered PLC, BP plc & Burberry Group plc Keep Charging?",1
20,"UPDATE 1-BP reports worst annual loss in at least 20 years, cuts more jobs",0
21,Insurers: Admiral blows hot and cold but Aviva soars pre-Friends Life merger,2
22,"L&G still paying price for dividend cut during crisis, chief says",0
23,Insurers: Admiral blows hot and cold but Aviva soars pre-Friends Life merger,2
24,"Whitbread eyes savings, price rises to offset wage rises",2
25,Britain's FTSE lifted by solid Kingfisher,2
26,Novo Nordisk and AstraZeneca seek tonic from key drug trials,2
27,Kingfisher takeover of Mr Bricolage could hit a brick wall,0
28,BP wins right to appeal some Gulf spill damages claims,2
29,Dixons Carphone profit boost on strong sales,2
30,UK MORNING BRIEFING: Sky And Hargreaves Lansdown Bookend FTSE 100,2
31,Johnson Matthey profit lifted by metals unit sale,2
32,"Barclays, Credit Suisse strike record deals with SEC, NY over dark pools",0
33,UPDATE 1-Shire takes Q2 earnings pain for long-term gain,0
34,Drugmaker Shire to buy Baxalta for $32 billion after 6-month pursuit,2
35,Standard Chartered considering move from UK,2
36,Philippines' San Miguel says to partner with Kirin if it bids for SABMiller's ...,2
37,US cancels Arctic offshore lease sale after Shell drops interest,0
38,Shire CEO steps up drive to get Baxalta board talking,2
39,UPDATE 1-Oil major BP freezes pay in 2015 to cut costs,0
40,Brazil Vale says will appeal ruling to block assets for dam burst,0
41,"BHP Billiton posts big loss, slashes dividend",0
42,Reaching New Depths: Glencore's $5bn Loss,0
43,UPDATE 2-EasyJet sees better first half on lower fuel bill,2
44,Britain's FTSE advances as Royal Mail rises,2
45,CompaniesTesco sheds Harris & Hoole coffee shops,2
46,News FeedFTSE 100 movers: Standard Chartered lifted while AstraZeneca sinks,2
47,Fitch: Citi's 1Q'15 Reports Much Improved Results,2
48,Landlord Hammerson's NAV rises on increased leasing activity,2
49,CompaniesMetro Bank raises Â£400m ahead of London listing,2
50,New Morrisons duo get former boss's support to diffuse investor tension,2
51,WPP Q1 Revenue Rises Over 8% - Quick Facts,2
52,Barclays raises 603 million pounds from African business share sale,2
53,REFILE-Aviva Investors to move 34 bln euros in assets from AXA fund arm,0
54,Dividends Unleashed At Royal Bank of Scotland Group plc,2
55,"Irish Said Chasing Standard Chartered, RBS as Brexit Vote Nears",2
56,"EXCLUSIVE-BP, China's CNPC to unveil oil alliance - sources",2
57,RBS and Barclays shares temporarily suspended amid heavily losses,0
58,BP sees Q1 earnings slide as low oil prices take their toll,0
59,Johnson Matthey revs up on clean air drive,2
60,Tesco boss urges rethink on minimum wage and business rates,2
61,Is It Worth Investing In Tesco PLC And Prudential plc Now?,2
62,RBS will reportedly appoint Howard Davies as its next chairman,2
63,UPDATE 1-Seattle flotilla protests Shell's Arctic drilling plans,0
64,Petrofac books further Â£30m cost for Shetland gas terminal delays,0
65,G4S suspends workers at UK youth centre over allegations of unnecessary force,0
66,TalkTalk hires BAE Systems to investigate cyber attack,2
67,Osborne extends Lloyds sell-off plan,0
68,UPDATE 1-Dairy Crest loses a third of Morrisons milk contract,0
69,CompaniesLord Livingston joins Dixons Carphone,2
70,Tesco names Deloitte as new auditor after accounting scandal,2
71,World's banks may halve jobs and branches within 10 years - Barclays ex-boss,0
72,Severn Trent share price rises as first half profit inches up as customer ...,2
73,Clinigen chosen by AstraZeneca to manage access programme for next ...,2
74,Valeant's Pearson says timing of return uncertain,0
75,Aviva suspends trading in Â£1.8bn UK property fund,0
76,Horizonte acquires neighbouring Glencore nickel property in Brazil,2
77,Indy future in doubt as Johnston Press lines up deal for 'i',2
78,Glaxo's ViiV Healthcare Signs China Manufacturing Deal With Desano,2
79,"BHP Billiton half-year profit falls, beats forecasts",2
80,Royal Dutch Shell to Buy BG Group for Nearly $70 Billion,2
81,Barclays to speed up cost-cuts after new mis-selling hit,0
82,"CEOs of BPM, UBI meet Italy econ minister as M&A talk heats up",2
83,HSBC Hit by Fresh Details of Tax Evasion Claims,0
84,"CaixaBank, dos Santos Agree on Plan for BPI Angola Exposure",0
85,"BPI Says Caixabank, Isabel dos Santos Reach Agreement Over Angola Exposure",2
86,Wolseley says Nicholls won't join as finance chief,0
87,UK lawmakers warn Royal Mail against further price hikes,0
88,StanChart and RBS struggle in Bank of England stress tests,0
89,StanChart may see white knight takeover on painful recovery - CLSA,0
90,AstraZeneca suffers setback after drug fails to treat eye cancer,0
91,News FeedFTSE 100 movers: Standard Chartered lifted while AstraZeneca sinks,0
92,Retail giant Kingfisher reports 'solid' start to the year,2
93,Unilever Continues to Battle Soft Demand,0
94,Fresnillo Production Surges But Profit Hit By Lower Prices,2
95,Helge Lund moves to BG a month early,2
96,"Tesco set to sell Kipa, Giraffe businesses - Sky News",0
97,"RBS warns of higher misconduct charges, obstacles ahead",0
98,"DBS, Julius Baer emerge as potential bidders for Barclays Asia wealth unit ...",2
99,Standard Life slips as Greek worries peg back Britain's FTSE,0
100,Glencore sells agri unit stake for $2.5 billion to Canadian pension fund,2
101,FCA bans former RBS Libor submitter,0
102,AB InBev's Latest Bid Said Unlikely to Win SABMiller's Approval,2
103,Standard Chartered Not Raising Capital Yet As Dividend Cut,0
104,"Tesco set to sell Kipa, Giraffe businesses - Sky News",2
105,United Utilities FY profit up 3.5%; to boost capex,2
106,Sale of Tesco's Clubcard business to WPP on the verge of collapse,0
107,UK's Osborne may sell state-owned RBS shares at a loss -paper,0
108,Tesco Sale Is Asia's Biggest Private-Equity Deal,2
109,Industry NewsWolseley confident in reslilience amid mixed markets,2
110,Japan's Nikkei lands Financial Times in $1.3 billion deal,2
111,UPDATE: Peter Long To Be Chairman Of Both Royal Mail And TUI AG,1
112,UK regulators license BAT e-cigarette as quit-smoking medicine,2
113,"Aviva, M&G suspend property funds as investors panic",0
114,British American Tobacco drops and sues PwC over pollution scandal,0
115,Aberdeen's shares slide as net outflows accelerate,0
116,REFILE-Hikma and Barclays help Britain's FTSE to climb higher,2
117,"Kraft, Cadbury's and Britvic in Total Recall: how pulling a product affects profit",0
118,Standard Chartered share price: Aberdeen CEO would back potential capital increase,2
119,Severn Trent share price jumps as Canadian investor renews pursuit of utility,2
120,France raises concerns over proposed LSE-Deutsche Boerse deal,0
121,Bunzl blames weakness in United States for first-half revenue slowdown,0
122,Tesco criticised for 'disgraceful' advert showing domestic worker being slapped,0
123,Tushar Morzaria is bookies' favourite to be new Barclays chief executive,1
124,CompaniesG4S claims 'positive' start to the year,2
125,"UPDATE 3-BP settles oil spill-related claims with Halliburton, Transocean",0
126,Shares in BAE Systems hit 10-month high on rating upgrade,2
127,GE to Sell Majority Stake in Bank BPH's Core Bank to Alior Bank,2
128,Royal Dutch Shell plc: Shell Updates on Alaska Exploration,1
129,City spirits sink after Diageo comes up short with sales slide,0
130,Tesco sales recover as focus returns to core business,2
131,London Stock Exchange unit in talks to operate Plato venue,2
132,ARM Holdings plc Partners With International Business Machines Corp. To Drive ...,2
133,GSK joins China trade push as UK trumpets healthcare deals,2
134,"Goldman Sachs, Barclays, HSBC downplay Brexit threat",1
135,HSBC marks muted 150th birthday party with grain of rice sculptures,1
136,Barclays appoints JPMorgan's Paul Compton as new COO,2
137,Standard Chartered Shares Jump Most Since '12 After Upgrades,2
138,Italy Probes Shell's Role in Purchase of Nigerian Oil Block,0
139,Shropshire and Mid Wales trains to be hit again in new strike by Arriva drivers,0
140,Friends Life lifts profits 38% and hikes divi ahead of proposed Aviva takeover,2
141,Randgold profit hit by poor gold price but dividend still increases,0
142,AstraZeneca does US$770mln anaesthetic deal,2
143,AB InBev's Latest Bid Said Unlikely to Win SABMiller's Approval,0
144,ITV share price jumps on report of Comcast's NBCUniversal bidding to takeover ...,2
145,Diageo Sells Ryder Cup Venue Gleneagles Hotel to Ennismore Group,2
146,Pearson to cut 4000 jobs as it warns on profits,0
147,"FDA panel backs safety updates for AstraZeneca, Takeda drugs",0
148,LSE-Deutsche Boerse merger would signal end to exchange mega-deals,2
149,"Intertek Hit By Pound Strength, Oil & Gas Slowdown; Still Ups Dividend",0
150,Tesco says recovery plan working after profit collapse,2
151,Kinder Morgan and BP Form Joint Venture Limited Liability Company to Purchase ...,2
152,Shell and BG Shareholders to Vote on Deal at End of January,1
153,"Intercontinental Hotels, Starwood held early deal talks - FT",2
154,Warren Buffett's Berkshire Hathaway buys stake in Apple,2
155,Sunday Papers: Shire told to raise its offer by Baxalta investors,2
156,"Britain's FTSE bounces back, Mondi and Barratt lead",2
157,Glencore slashes 2015 capex budget as annual profits slip 2%,0
158,Anheuser-Busch InBev Increases Offer for Rival SABMiller,2
159,Sainsbury CFO Rogers to Replace Home Retail CEO Walden,1
160,"UPDATE 2-Exchanges, Barclays win dismissal of US high-frequency trading case",2
161,MarketsUS industrials lag as Barclays dims view,0
162,Zurich Insurance Considering Offer for UK Rival RSA Insurance,2
163,US DOJ antitrust unit subpoenas Mylan over pricing of doxycycline,0
164,AstraZeneca sells US gout drug rights to Ironwood for up to $265 million,2
165,"Shell, Chevron Await LNG's Return From `Pause Mode'",2
166,Companies raise less money on London Stock Exchange in 2015,0
167,Shell and BG Shareholders to Vote on Deal at End of January,1
168,Glencore shares rally after miner hits back,2
169,ABN Amro: Bank that brought down RBS poised for return to the market,2
170,Verizon and AT&T accused of hurting rivals,0
171,ARM swings to profit in fourth quarter,2
172,Johnson Matthey profit falls but dividend rises,1
173,Auto Trader share price surges as company floats on LSE,2
174,ConAgra Names Former Hillshire Farms CEO Connolly to Top Post,2
175,Hargreaves Landown slides on trading update,0
176,"Sainsbury's, Asda, Tesco and Morrisons will all cut petrol prices as oil falls ...",0
177,"WPP, World's Largest Ad Agency, Reports Strong 2015 Growth",2
178,Shell Targets Gains From Brazil to LNG With Takeover of BG Group,2
179,Four former Barclays bankers jailed over Libor,0
180,Tesco Cut to Junk at Moody's on Concern Revival to Take Time,0
181,LPC-Glencore launches refinancing of $8.45billion loan,2
182,"London open: Taylor Wimpey and Ashtead drive markets higher, Barclays falls",2
183,Easyjet targets business travellers with new perks,2
184,BP joins forces with Det Norske in Norway,2
185,Shire proposes $30 bln all-share tie-up with Baxalta,2
186,Tesco sales rise shows tentative recovery continues,2
187,Valeant Names Interim Leader as CEO Remains Hospitalized,1
188,AstraZeneca weighing up Acerta bid to secure blood cancer drug,2
189,BP asks for lower fine in penalty phase of Gulf spill trial,0
190,MarketsShire up 2.5% and Baxalta up 6% on $32bn deal,2
191,"Warren Buffett's Awesome Feat at Berkshire Hathaway, Revisited",2
192,Lloyds Banking Group's share price lifts amid reports bank is poised to axe hundreds of UK jobs,2
193,SSE cuts gas prices by 4.1% to become fifth of 'Big Six' providers to slash energy ...,0
194,Silicon Fen' champion brings exacting approach to Rolls-Royce,2
195,Tesco Said to Discuss Central and Eastern European Unit Sale,2
196,Glencore launches refinancing of credit line,2
197,Should You Follow Berkshire Hathaway Into Apple Stock?,2
198,UK WINNERS & LOSERS: Aviva And Friends Life Lead FTSE 100 Gainers,2
199,FDA approves Shire's Vyvanse for binge-eating disorder,2
200,Entertainment One dispels ITV takeover rumours,2
201,"Despite sales growth, UK's Tesco cautions recovery to be bumpy",0
202,Oil Giant Shell to Cut Around 2800 Jobs Amid BG Takeover,0
203,BAE Systems banks on US defence spending to fix sales slide,0
204,UK Christmas power demand to be lowest in 16 years â€“ National Grid,0
205,CompaniesCompass serves up half year profit rise,2
206,UK MORNING BRIEFING: Sky And Hargreaves Lansdown Bookend FTSE 100,0
207,InterContinental Hotels Group share price climbs on $1.5bn special dividend,2
208,AstraZeneca in Talks to Buy Cancer Drug Developer Acerta Pharma,2
209,Amazon to attack UK grocery market with Morrisons deal,2
210,Tesco made a bit of a crucial error in this promotion for Ramadan...,0
211,"Falling oil prices hurt Hunting, Weir Group",0
212,Morning Agenda: Shire's Deal for NPS,2
213,AstraZeneca wins FDA approval for key new lung cancer pill,2
214,FCA set to fine Lloyds record Â£100m over PPI,0
215,"Barclays's Next CEO Should Be Investment Banker, Aberdeen Says",2
216,RBS and Barclays shares temporarily suspended amid heavily losses,0
217,Shire to buy NPS for $5.2 billion to boost rare disease drugs,2
218,Tesco's boardroom clearout continues,0
219,BHP Billiton says no settlement yet on Brazil dam disaster,0
220,Arm buoyed by race to build the internet of things,2
221,AstraZeneca diabetes drug combination faces delay after FDA rebuff,0
222,Amazon's grocery deal with Morrisons is only the beginning,2
223,BAE Systems's sales boosted by European Typhoon and currencies,2
224,CompaniesAberdeen Asset Mgt reports 10th consecutive quarterly outflows,0
225,Barclays CEO poaches risk head from JP Morgan,0
226,BP signs $12 billion energy deal in Egypt,2
227,Shire says internal synergy goals from Baxalta deal higher,2
228,WPP wins race for 'programmatic buying' agency Essence Digital,2
229,Drugmaker Shire to buy Baxalta for $32 billion after 6-month pursuit,2
230,AstraZeneca investment eats into profit,0
231,"AstraZeneca bags another cancer drug deal, this time with Inovio",2
232,CompaniesCentrica shares drop 7% amid capital raise,0
233,Miners Meltdown as BHP to Rio Tinto Sink in Commodities Rout,0
234,UPDATE 1-Britain's Tullow says makes new oil find in Kenya,2
235,Britain's power supplies enough to meet winter demand - National Grid,2
236,Barclays PLC & Lloyds Banking Group PLC Are The 2 Banks I'd Buy Today,2
237,UPDATE 3-Buffett's Berkshire raises oil bet with Kinder Morgan stake,2
238,"UPDATE: EasyJet Passenger Numbers, Aer Lingus Traffic Up In February",2
239,PRESS: US High-Frequency Lawsuit Against Barclays Dismissed - Reuters,2
240,Shell CEO van Beurden's remuneration fell in 2015,0
241,"Aberdeen AM posts H1 outflows, says conditions to remain challenging",0
242,"Kraft, Cadbury's and Britvic in Total Recall: how pulling a product affects profit",0
243,Shell seeks to remove Greenpeace activists from oil rig,0
244,"UPDATE 3-BP settles oil spill-related claims with Halliburton, Transocean",0
245,Pearson Forecasts Rising Earnings as Reorganization Pays Off,2
246,Morrisons faces festive sales test,0
247,Aviva shuts Friends Life head office in rapid integration move,0
248,Tesco to pay Â£8m to settle class-action lawsuit after accounting scandal,0
249,UPDATE 3-Stifel to buy former Lehman brokerage from Barclays,2
250,CompaniesRoyal Mail stake sale delivers Â£750m for taxpayer,0
251,NYSE owner ICE may gatecrash Deutsche Boerse-LSE merger,2
252,Spain's Caixabank launches new takeover bid for Banco BPI,2
253,Former Aviva Investors analyst Mothahir Miah banned and fined Â£139000 by FCA ...,0
254,ARM shrugs off smartphone slowdown as newer designs win share,2
255,UPDATE 1-Petrofac posts net loss hurt by Shetland Islands project costs,0
256,Do it for me' trend underpins UK sales growth at Kingfisher,2
257,RBS invites pitches for broker role ahead of privatisation - sources,2
258,Bunzl delivers small profit increase for 2014,2
259,AB InBev Holds Talks With Regulators About California Deals,0
260,CompaniesMorrison evicted from FTSE 100 as Worldpay joins,0
261,Barclays denies deferred prosecution offer from SFO,0
262,LONDON MIDDAY BRIEFING: Kingfisher's French Expansion Hits The Rocks,0
263,"PRESS: Serco Set To Appoint Roy Gardner, Ex-Centrica, As Chairman - FT",2
264,Tesco chief excutive Dave Lewis sees 'encouraging signs' despite profits tumble,2
265,"EasyJet ""Sneakairs"": Airline is testing smart shoes to help customers explore destinations",2
266,The Coca-Cola Company and Coca-Cola FEMSA to Acquire AdeS Soy-Based Beverage Business From Unilever,2
267,SSE faces profiteering accusations despite 5.3% cut in gas charges,0
268,CompaniesRBS pulls a surprise: a 27% jump in profits,2
269,"Shell, Chevron Await LNG's Return From `Pause Mode'",2
270,Barclays settles with US investors over Libor manipulation,2
271,"Tesco says recovery on track, asks investors to be patient",2
272,"Should you buy Associated British Foods plc, Great Portland Estates plc and Dunelm Group plc following today's news?",2
273,"UPDATE 1-Nomura, RBS must pay $806 mln in mortgage bond case-US judge",0
274,National Grid profit up 15%; gas sale on track,2
275,AstraZeneca chases Acerta to secure next cancer drug winner,2
276,"Prudential capital ratio beats forecasts, confirms UK head",2
277,CompaniesEx-City watchdog Turner joins Prudential board,1
278,"Militants fire rockets at Algerian BP/Statoil gas plant, no casualties",0
279,BG Group Still Happy With Shell's $70 Billion Offer,2
280,CompaniesAstraZeneca wins nod for 'blockbuster' hopeful,2
281,Shell to Lay Off Another 2200 Staff,0
282,Carnival Corporation and China Merchants Group Sign Memo of Understanding ...,2
283,CompaniesDiageo stays neutral on India boardroom turmoil,1
284,Tesco to 'axe 10000 jobs' in 'simplification' drive to cut costs by 30 per cent,2
285,Barclays poised to replace Sir Mike Rake as he heads for exit,2
286,Tesco bans sugary drinks in â€œchildhood obesity driveâ€퀀,2
287,Tata Steel working with StanChart for UK unit sale - source,2
288,Sainsbury's share price: Grocer launches click-and-collect,2
289,AO World shares tumble on profit warning,0
290,Shell Targets Gains From Brazil to LNG With Takeover of BG Group,2
291,Glencore tells investors it is on track to reduce debt: Barclays,2
292,Whitbread boss Andy Harrison defends sales fall as 'just a blip',0
293,Borealis Infrastructure putting together new Severn Trent bid,2
294,AstraZeneca sells US drug rights to Perrigo for $380 mln,2
